Timestamp;% CPU (global);% CPU (user);% CPU (system);;;;
875;1.00;0.50;0.30;;;;
880;0.90;0.50;0.20;;;;
885;0.80;0.50;0.20;;;;
890;0.90;0.50;0.30;;;;
895;1.10;0.70;0.30;;;;
900;0.90;0.50;0.30;;;;
905;1.00;0.70;0.10;;;;
910;1.00;0.60;0.30;;;;
915;1.00;0.60;0.20;;;;
920;0.90;0.50;0.20;;;;
925;1.10;0.60;0.30;;;;
930;0.90;0.60;0.20;;;;
935;0.70;0.40;0.20;;;;
940;0.90;0.60;0.20;;;;
945;0.80;0.50;0.20;;;;
950;0.80;0.60;0.20;;;;
955;1.00;0.60;0.30;;;;
960;0.80;0.50;0.30;;;;
965;0.90;0.60;0.20;;;;
970;0.80;0.50;0.20;;;;
975;0.90;0.60;0.20;;;;
980;0.80;0.50;0.30;;;;
985;0.80;0.50;0.10;;;;
990;0.90;0.60;0.20;;;;
995;1.40;0.90;0.30;;;;
1000;0.90;0.50;0.30;;;;
1005;0.70;0.50;0.20;;;;
1010;0.90;0.50;0.30;;;;
1015;1.10;0.60;0.20;;;;
1020;0.70;0.50;0.20;;;;
1025;0.80;0.40;0.20;;;;
1030;0.90;0.60;0.20;;;;
1035;1.00;0.50;0.30;;;;
1040;1.00;0.60;0.20;;;;
1045;1.00;0.60;0.30;;;;
1050;0.80;0.50;0.30;;;;
1055;0.90;0.50;0.20;;;;
1060;0.90;0.60;0.20;;;;
1065;0.90;0.50;0.30;;;;
1070;0.90;0.60;0.20;;;;
1075;0.90;0.60;0.20;;;;
1080;0.80;0.50;0.30;;;;
1085;1.00;0.60;0.20;;;;
1090;0.90;0.60;0.20;;;;
1095;0.90;0.50;0.20;;;;
1100;0.90;0.50;0.20;;;;
1105;0.90;0.60;0.20;;;;
1110;0.90;0.50;0.20;;;;
1115;1.10;0.70;0.20;;;;
1120;0.90;0.50;0.20;;;;
1125;0.80;0.50;0.20;;;;
1130;1.40;0.90;0.40;;;;
1135;0.90;0.60;0.20;;;;
1140;0.80;0.50;0.20;;;;
1145;1.00;0.70;0.20;;;;
1150;0.90;0.60;0.20;;;;
1155;0.90;0.50;0.20;;;;
1160;0.90;0.50;0.20;;;;
1165;2.00;1.50;0.40;;;;
1170;0.90;0.50;0.20;;;;
1175;1.00;0.60;0.30;;;;
1180;1.00;0.60;0.30;;;;
1185;0.90;0.50;0.20;;;;
1190;0.90;0.60;0.20;;;;
1195;1.00;0.60;0.20;;;;
1200;0.90;0.60;0.20;;;;
1205;1.10;0.60;0.30;;;;
1210;1.00;0.60;0.30;;;;
1215;1.90;0.50;0.30;;;;
1220;1.00;0.50;0.20;;;;
1225;2.20;0.60;0.20;;;;
1230;1.00;0.50;0.20;;;;
1235;2.40;0.90;0.20;;;;
1240;1.10;0.60;0.20;;;;
1245;2.00;0.60;0.20;;;;
1250;1.10;0.60;0.20;;;;
1255;3.30;0.50;0.30;;;;
1260;1.60;0.60;0.30;;;;
1265;5.60;0.70;0.30;;;;
1270;2.40;0.50;0.20;;;;
1275;1.00;0.60;0.20;;;;
1280;0.90;0.60;0.20;;;;
1285;0.90;0.60;0.20;;;;
1290;1.00;0.60;0.20;;;;
1295;0.90;0.50;0.20;;;;
1300;0.80;0.60;0.20;;;;
1305;0.80;0.50;0.20;;;;
1310;0.80;0.50;0.20;;;;
1315;0.90;0.50;0.20;;;;
1320;1.00;0.60;0.30;;;;
1325;1.00;0.50;0.30;;;;
1330;0.90;0.50;0.20;;;;
1335;1.00;0.60;0.30;;;;
1340;0.80;0.50;0.20;;;;
1345;1.00;0.60;0.30;;;;
1350;0.90;0.50;0.20;;;;
1355;0.90;0.60;0.20;;;;
1360;1.00;0.60;0.30;;;;
1365;1.00;0.60;0.20;;;;
1370;1.40;1.00;0.30;;;;
