Timestamp;% Memoria utilizada;Capacidad disponible;Capacidad utilizada;;;;
1995;32.62298725;10829704;5243588;;;;
2010;32.62298725;10829704;5243588;;;;
2025;32.62769071;10828948;5244344;;;;
2040;32.57891414;10836788;5236504;;;;
2055;32.68923379;10819056;5254236;;;;
2070;32.57475818;10837456;5235836;;;;
2085;32.57005472;10838212;5235080;;;;
2100;32.57162254;10837960;5235332;;;;
2115;32.59200418;10834684;5238608;;;;
2130;32.59339779;10834460;5238832;;;;
2145;32.59339779;10834460;5238832;;;;
2160;32.59339779;10834460;5238832;;;;
2175;32.61377943;10831184;5242108;;;;
2190;32.61377943;10831184;5242108;;;;
2205;32.61470021;10831036;5242256;;;;
2220;32.61470021;10831036;5242256;;;;
2235;32.63002999;10828572;5244720;;;;
2250;32.64787325;10825704;5247588;;;;
2265;32.65571235;10824444;5248848;;;;
2280;32.63533071;10827720;5245572;;;;
2295;32.65571235;10824444;5248848;;;;
2310;32.65571235;10824444;5248848;;;;
2325;32.65571235;10824444;5248848;;;;
2340;32.65728016;10824192;5249100;;;;
2355;32.64247299;10826572;5246720;;;;
2370;32.6431698;10826460;5246832;;;;
2385;32.56890997;10838396;5234896;;;;
2400;32.56890997;10838396;5234896;;;;
2415;32.57361342;10837640;5235652;;;;
2430;32.59556288;10834112;5239180;;;;
2445;32.59556288;10834112;5239180;;;;
2460;32.59556288;10834112;5239180;;;;
2475;32.59713069;10833860;5239432;;;;
2490;32.60026633;10833356;5239936;;;;
2505;32.59068522;10834896;5238396;;;;
2520;32.59068522;10834896;5238396;;;;
2535;32.6392627;10827088;5246204;;;;
2550;32.71441843;10815008;5258284;;;;
2565;32.69090115;10818788;5254504;;;;
2580;32.69090115;10818788;5254504;;;;
2595;32.69090115;10818788;5254504;;;;
2610;32.68776552;10819292;5254000;;;;
2625;32.70971497;10815764;5257528;;;;
2640;32.6344597;10827860;5245432;;;;
2655;32.6344597;10827860;5245432;;;;
2670;32.65484134;10824584;5248708;;;;
2685;32.66581606;10822820;5250472;;;;
2700;32.63759534;10827356;5245936;;;;
2715;32.63916315;10827104;5246188;;;;
2730;32.64073097;10826852;5246440;;;;
2745;32.68769086;10819304;5253988;;;;
2760;32.66103795;10823588;5249704;;;;
2775;32.66103795;10823588;5249704;;;;
2790;32.66399938;10823112;5250180;;;;
2805;32.66870284;10822356;5250936;;;;
2820;32.66243157;10823364;5249928;;;;
2835;32.65772811;10824120;5249172;;;;
2850;32.70769921;10816088;5257204;;;;
2865;32.70299575;10816844;5256448;;;;
2880;32.71240266;10815332;5257960;;;;
2895;32.71240266;10815332;5257960;;;;
2910;32.70926703;10815836;5257456;;;;
2925;32.70926703;10815836;5257456;;;;
2940;32.72964866;10812560;5260732;;;;
2955;32.7327843;10812056;5261236;;;;
2970;32.73435212;10811804;5261488;;;;
2985;32.73435212;10811804;5261488;;;;
3000;32.72337739;10813568;5259724;;;;
3015;32.72808084;10812812;5260480;;;;
3030;32.72808084;10812812;5260480;;;;
3045;32.72808084;10812812;5260480;;;;
3060;32.72808084;10812812;5260480;;;;
3075;32.7500303;10809284;5264008;;;;
3090;32.74532684;10810040;5263252;;;;
3105;32.74532684;10810040;5263252;;;;
3120;32.74532684;10810040;5263252;;;;
3135;32.72320319;10813596;5259696;;;;
3150;32.76234887;10807304;5265988;;;;
3165;32.76078105;10807556;5265736;;;;
3180;32.76078105;10807556;5265736;;;;
3195;32.78429833;10803776;5269516;;;;
3210;32.77489142;10805288;5268004;;;;
3225;32.77489142;10805288;5268004;;;;
3240;32.75137414;10809068;5264224;;;;
3255;32.75137414;10809068;5264224;;;;
3270;32.75137414;10809068;5264224;;;;
3285;32.75137414;10809068;5264224;;;;
3300;32.75137414;10809068;5264224;;;;
3315;32.72785687;10812848;5260444;;;;
3330;32.72785687;10812848;5260444;;;;
3345;32.72785687;10812848;5260444;;;;
3360;32.7043396;10816628;5256664;;;;
3375;32.68082232;10820408;5252884;;;;
3390;32.69650051;10817888;5255404;;;;
3405;32.70747523;10816124;5257168;;;;
3420;32.7043396;10816628;5256664;;;;
3435;32.72001778;10814108;5259184;;;;
3450;32.73868228;10811108;5262184;;;;
3465;32.73868228;10811108;5262184;;;;
3480;32.73868228;10811108;5262184;;;;
3495;32.73868228;10811108;5262184;;;;
3510;32.72770755;10812872;5260420;;;;
3525;32.73084319;10812368;5260924;;;;
3540;32.73084319;10812368;5260924;;;;
3555;32.73084319;10812368;5260924;;;;
3570;32.73241101;10812116;5261176;;;;
3585;32.73241101;10812116;5261176;;;;
3600;32.73241101;10812116;5261176;;;;
3615;32.73554664;10811612;5261680;;;;
3630;32.71202937;10815392;5257900;;;;
3645;32.71202937;10815392;5257900;;;;
3660;32.71202937;10815392;5257900;;;;
3675;32.71202937;10815392;5257900;;;;
3690;32.71202937;10815392;5257900;;;;
3705;32.6885121;10819172;5254120;;;;
3720;32.69007992;10818920;5254372;;;;
3735;32.70209986;10816988;5256304;;;;
3750;32.78910132;10803004;5270288;;;;
3765;32.78910132;10803004;5270288;;;;
3780;32.75304151;10808800;5264492;;;;
3795;32.75304151;10808800;5264492;;;;
3810;32.72482078;10813336;5259956;;;;
3825;32.73736332;10811320;5261972;;;;
3840;32.71384605;10815100;5258192;;;;
3855;32.71384605;10815100;5258192;;;;
3870;32.71384605;10815100;5258192;;;;
3885;32.73106716;10812332;5260960;;;;
3900;32.69814298;10817624;5255668;;;;
3915;32.69814298;10817624;5255668;;;;
3930;32.6997108;10817372;5255920;;;;
3945;32.72009244;10814096;5259196;;;;
3960;32.73111694;10812324;5260968;;;;
